case_id,fraud_type,case_title,modus_operandi,fraud_pattern,investigation_summary,entities_involved,risk_indicators,resolution,regulatory_reference,created_at
CASE00000,Card-Not-Present (CNP),Card-Not-Present (CNP) Investigation Ring #0,Stolen credential monetization via quick consumer checkouts.,High velocity transaction targeting consumer electronics merchants.,Completed forensic deep-dive analysis on clustered anomalies for node group 0.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1000,2026-06-08 12:00:00
CASE00001,Card-Not-Present (CNP),Card-Not-Present (CNP) Investigation Ring #1,Stolen credential monetization via quick consumer checkouts.,High velocity transaction targeting consumer electronics merchants.,Completed forensic deep-dive analysis on clustered anomalies for node group 1.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1001,2026-06-08 12:00:00
CASE00002,Account Takeover (ATO),Account Takeover (ATO) Investigation Ring #2,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift profile modifications.,Completed forensic deep-dive analysis on clustered anomalies for node group 2.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1002,2026-06-08 12:00:00
CASE00003,Account Takeover (ATO),Account Takeover (ATO) Investigation Ring #3,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift profile modifications.,Completed forensic deep-dive analysis on clustered anomalies for node group 3.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1003,2026-06-08 12:00:00
CASE00004,Card-Not-Present (CNP),Card-Not-Present (CNP) Investigation Ring #4,Stolen credential monetization via quick consumer checkouts.,High velocity transaction targeting consumer electronics merchants.,Completed forensic deep-dive analysis on clustered anomalies for node group 4.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1004,2026-06-08 12:00:00
CASE00005,Mule Account Network,Mule Account Network Investigation Ring #5,Layering dirty funds across structured micro-deposits.,High volume of incoming peer-to-peer transfers swept instantly.,Completed forensic deep-dive analysis on clustered anomalies for node group 5.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1005,2026-06-08 12:00:00
CASE00006,Mule Account Network,Mule Account Network Investigation Ring #6,Layering dirty funds across structured micro-deposits.,High volume of incoming peer-to-peer transfers swept instantly.,Completed forensic deep-dive analysis on clustered anomalies for node group 6.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1006,2026-06-08 12:00:00
CASE00007,Account Takeover (ATO),Account Takeover (ATO) Investigation Ring #7,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift profile modifications.,Completed forensic deep-dive analysis on clustered anomalies for node group 7.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1007,2026-06-08 12:00:00
CASE00008,Account Takeover (ATO),Account Takeover (ATO) Investigation Ring #8,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift profile modifications.,Completed forensic deep-dive analysis on clustered anomalies for node group 8.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1008,2026-06-08 12:00:00
CASE00009,Account Takeover (ATO),Account Takeover (ATO) Investigation Ring #9,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift profile modifications.,Completed forensic deep-dive analysis on clustered anomalies for node group 9.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1009,2026-06-08 12:00:00
CASE00010,Card-Not-Present (CNP),Card-Not-Present (CNP) Investigation Ring #10,Stolen credential monetization via quick consumer checkouts.,High velocity transaction targeting consumer electronics merchants.,Completed forensic deep-dive analysis on clustered anomalies for node group 10.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1010,2026-06-08 12:00:00
CASE00011,Mule Account Network,Mule Account Network Investigation Ring #11,Layering dirty funds across structured micro-deposits.,High volume of incoming peer-to-peer transfers swept instantly.,Completed forensic deep-dive analysis on clustered anomalies for node group 11.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1011,2026-06-08 12:00:00
CASE00012,Account Takeover (ATO),Account Takeover (ATO) Investigation Ring #12,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift profile modifications.,Completed forensic deep-dive analysis on clustered anomalies for node group 12.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1012,2026-06-08 12:00:00
CASE00013,Card-Not-Present (CNP),Card-Not-Present (CNP) Investigation Ring #13,Stolen credential monetization via quick consumer checkouts.,High velocity transaction targeting consumer electronics merchants.,Completed forensic deep-dive analysis on clustered anomalies for node group 13.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1013,2026-06-08 12:00:00
CASE00014,Account Takeover (ATO),Account Takeover (ATO) Investigation Ring #14,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift profile modifications.,Completed forensic deep-dive analysis on clustered anomalies for node group 14.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1014,2026-06-08 12:00:00
CASE00015,Mule Account Network,Mule Account Network Investigation Ring #15,Layering dirty funds across structured micro-deposits.,High volume of incoming peer-to-peer transfers swept instantly.,Completed forensic deep-dive analysis on clustered anomalies for node group 15.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1015,2026-06-08 12:00:00
CASE00016,Mule Account Network,Mule Account Network Investigation Ring #16,Layering dirty funds across structured micro-deposits.,High volume of incoming peer-to-peer transfers swept instantly.,Completed forensic deep-dive analysis on clustered anomalies for node group 16.,Distributed consumer accounts interacting with compromised endpoint assets.,"Velocity limit threshold breach, device pool correlation, proxy hopping.","Accounts isolated, associated assets blacklisted globally.",FINCEN-SAR-2026-1016,2026-06-08 12:00:00
