case_id,fraud_type,case_title,modus_operandi,fraud_pattern,investigation_summary,entities_involved,risk_indicators,resolution,regulatory_reference,created_at
FC-10000,Synthetic Identity Theft,Synthetic Identity Theft Ring Alpha-0,Fabricated personas accessing lines of credit with no intent to repay.,Unusually high open accounts tied to unverified or newly populated credit files.,Completed digital forensics investigation for network cluster 0.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1000,2025-06-01 12:00:00
FC-10001,Account Takeover,Account Takeover Ring Alpha-1,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift changes to critical profile settings.,Completed digital forensics investigation for network cluster 1.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1001,2025-06-01 12:00:00
FC-10002,Account Takeover,Account Takeover Ring Alpha-2,Credential stuffing followed by instant balance liquidation.,Sudden device fingerprint shift accompanied by swift changes to critical profile settings.,Completed digital forensics investigation for network cluster 2.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1002,2025-06-01 12:00:00
FC-10003,Synthetic Identity Theft,Synthetic Identity Theft Ring Alpha-3,Fabricated personas accessing lines of credit with no intent to repay.,Unusually high open accounts tied to unverified or newly populated credit files.,Completed digital forensics investigation for network cluster 3.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1003,2025-06-01 12:00:00
FC-10004,Card-Not-Present Fraud,Card-Not-Present Fraud Ring Alpha-4,Stolen credential monetization via quick consumer goods checkout.,High transaction velocity targeting electronics merchants within short windows.,Completed digital forensics investigation for network cluster 4.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1004,2025-06-01 12:00:00
FC-10005,Card-Not-Present Fraud,Card-Not-Present Fraud Ring Alpha-5,Stolen credential monetization via quick consumer goods checkout.,High transaction velocity targeting electronics merchants within short windows.,Completed digital forensics investigation for network cluster 5.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1005,2025-06-01 12:00:00
FC-10006,Synthetic Identity Theft,Synthetic Identity Theft Ring Alpha-6,Fabricated personas accessing lines of credit with no intent to repay.,Unusually high open accounts tied to unverified or newly populated credit files.,Completed digital forensics investigation for network cluster 6.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1006,2025-06-01 12:00:00
FC-10007,Mule Account Network,Mule Account Network Ring Alpha-7,Layering dirty funds across distributed micro-deposits.,High volume of structured incoming cross-border peer-to-peer transfers swept instantly.,Completed digital forensics investigation for network cluster 7.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1007,2025-06-01 12:00:00
FC-10008,Mule Account Network,Mule Account Network Ring Alpha-8,Layering dirty funds across distributed micro-deposits.,High volume of structured incoming cross-border peer-to-peer transfers swept instantly.,Completed digital forensics investigation for network cluster 8.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1008,2025-06-01 12:00:00
FC-10009,Mule Account Network,Mule Account Network Ring Alpha-9,Layering dirty funds across distributed micro-deposits.,High volume of structured incoming cross-border peer-to-peer transfers swept instantly.,Completed digital forensics investigation for network cluster 9.,"Multiple domestic consumers, target nodes grouped around resource clusters.","Velocity flags, High graph neighborhood commonality, Proxy IP match.","Recovered portion of funds, compromised accounts blacklisted.",FINCEN-SAR-2026-1009,2025-06-01 12:00:00
